0.0,24.0,0.0
p,1,-160.0,0.0,-96.0,160.0,0.0,-96.0,160.0,32.0,-96.0,-160.0,0.0,160.0,0.0,160.0,32.0,1,0
p,1,160.0,32.0,-96.0,-160.0,32.0,-96.0,-160.0,0.0,-96.0,160.0,32.0,-160.0,32.0,-160.0,0.0,1,0
p,1,-160.0,0.0,-96.0,-160.0,32.0,-96.0,-160.0,32.0,256.0,111.0,0.0,111.0,32.0,-241.0,32.0,1,0
p,1,-160.0,32.0,256.0,-160.0,0.0,256.0,-160.0,0.0,-96.0,-241.0,32.0,-241.0,0.0,111.0,0.0,1,0
p,1,160.0,0.0,-96.0,160.0,0.0,256.0,160.0,32.0,256.0,-96.0,0.0,256.0,0.0,256.0,32.0,1,0
p,1,160.0,32.0,256.0,160.0,32.0,-96.0,160.0,0.0,-96.0,256.0,32.0,-96.0,32.0,-96.0,0.0,1,0
p,1,160.0,0.0,256.0,-160.0,0.0,256.0,-160.0,32.0,256.0,-145.0,0.0,175.0,0.0,175.0,32.0,1,0
p,1,-160.0,32.0,256.0,160.0,32.0,256.0,160.0,0.0,256.0,175.0,32.0,-145.0,32.0,-145.0,0.0,1,0
p,0,-224.0,0.0,-288.0,224.0,0.0,-288.0,224.0,0.0,-96.0,-224.0,-288.0,224.0,-288.0,224.0,-96.0,0,0
p,0,224.0,0.0,-96.0,-224.0,0.0,-96.0,-224.0,0.0,-288.0,224.0,-96.0,-224.0,-96.0,-224.0,-288.0,0,0
p,0,-224.0,0.0,-96.0,-160.0,0.0,-96.0,-160.0,0.0,256.0,-224.0,-96.0,-160.0,-96.0,-160.0,256.0,0,0
p,0,-160.0,0.0,256.0,-224.0,0.0,256.0,-224.0,0.0,-96.0,-160.0,256.0,-224.0,256.0,-224.0,-96.0,0,0
p,0,-224.0,0.0,256.0,224.0,0.0,256.0,224.0,0.0,672.0,-224.0,256.0,224.0,256.0,224.0,672.0,0,0
p,0,224.0,0.0,672.0,-224.0,0.0,672.0,-224.0,0.0,256.0,224.0,672.0,-224.0,672.0,-224.0,256.0,0,0
p,0,160.0,0.0,-96.0,224.0,0.0,-96.0,224.0,0.0,256.0,160.0,-96.0,224.0,-96.0,224.0,256.0,0,0
p,0,224.0,0.0,256.0,160.0,0.0,256.0,160.0,0.0,-96.0,224.0,256.0,160.0,256.0,160.0,-96.0,0,0
p,2,-160.0,32.0,-96.0,160.0,32.0,-96.0,160.0,32.0,256.0,-160.0,-96.0,160.0,-96.0,160.0,256.0,2,0
p,2,160.0,32.0,256.0,-160.0,32.0,256.0,-160.0,32.0,-96.0,160.0,256.0,-160.0,256.0,-160.0,-96.0,2,0
p,2,-128.0,0.0,-96.0,-128.0,0.0,256.0,160.0,0.0,256.0,-144.0,-96.0,-144.0,256.0,160.0,256.0,2,0
p,2,160.0,0.0,256.0,160.0,0.0,-96.0,-128.0,0.0,-96.0,160.0,256.0,160.0,-96.0,-144.0,-96.0,2,0
p,3,-128.0,-8.0,-40.0,-144.0,-8.0,-40.0,-144.0,24.0,-80.0,-144.0,-40.0,-160.0,-40.0,-160.0,-80.0,3,0
p,3,-144.0,24.0,-80.0,-128.0,24.0,-80.0,-128.0,-8.0,-40.0,-160.0,-80.0,-144.0,-80.0,-144.0,-40.0,3,0
p,3,-144.0,24.0,-80.0,-144.0,24.0,-96.0,-128.0,24.0,-96.0,-160.0,-80.0,-160.0,-96.0,-144.0,-96.0,3,0
p,3,-128.0,24.0,-96.0,-128.0,24.0,-80.0,-144.0,24.0,-80.0,-144.0,-96.0,-144.0,-80.0,-160.0,-80.0,3,0
